issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,4969,376977,4616,351557,0.00019087382559230856
overlap,4969,47150,4616,43985,0.00013898835781875557
overlap,4975,539712,4622,502840,0.019473538958626056
overlap,5162,538633,4797,513513,0.0016702443692366842
overlap,5260,350326,4889,545780,0.00018174935924800551
overlap,5265,482235,4892,449840,0.0015155205146681402
overlap,5265,468814,4892,437364,4.095965889271743e-07
overlap,5303,536933,4925,500414,8.950036485514697e-05
overlap,5318,34695,4939,32357,0.0036666785929071466
overlap,5378,188710,4994,175829,0.0011633940335302438
overlap,5378,508525,4994,546577,9.756453696681223e-06
overlap,5389,52424,5005,48860,2.917020005605063e-05
overlap,5491,512787,5105,529622,0.0012367161649803266
overlap,5762,40434,5365,37695,0.010965104526022026
overlap,5765,96029,5368,89393,0.0010977312909398753
overlap,5765,153193,5368,142751,0.00113942801508958
overlap,5765,488604,5368,455727,0.16844976325541278
overlap,5765,45630,5368,42557,0.18965354780189259
overlap,5765,489819,5368,456857,0.020880561644605916
overlap,5765,515045,5368,480178,0.00015452205333497433
overlap,5765,286124,5368,266567,0.0017138386274954199
overlap,5765,130856,5368,121895,0.0032251719258084652
overlap,5765,375957,5368,350592,0.00148050765074359
overlap,5765,45063,5368,42024,0.0004524159539940342
overlap,5765,501724,5368,467891,0.00015122662251820587
overlap,5765,57965,5368,53980,0.00011540992524494698
overlap,5765,267568,5368,249254,4.2470491398521664e-05
overlap,5770,52056,5373,48518,0.0008068774903351785
overlap,5770,348498,5373,547041,3.843090512142209e-05
overlap,5774,89816,5377,83635,0.004299281880892607
overlap,5774,578397,5377,507624,0.0018499608673895058
overlap,5774,47842,5377,44633,0.0021844236805081962
overlap,5775,498558,5378,464979,0.01111393812807533
overlap,5788,93206,5390,86784,0.00025254243557000023
overlap,5788,513829,5390,479061,0.00025256978416665643
overlap,5788,446928,5390,417075,0.05989286394771143
overlap,5788,328820,5390,306480,0.059479283486986834
overlap,5788,437901,5390,408666,0.0002526303894887438
overlap,5788,343044,5390,319747,0.00025254387558195084
overlap,5791,1474440,5393,546240,0.0009530372586255367
overlap,5862,531130,5458,495069,7.423022896578784e-06
overlap,5885,537913,5477,501281,0.027398021275416795
overlap,5950,445714,5534,415946,6.077268270961731e-05
overlap,5981,398956,5560,372163,0.00024342653208520026
overlap,5981,407869,5560,380532,0.0005593249773614417
overlap,5996,330771,5575,308299,0.00010573113995576732
overlap,6049,210788,5625,196381,0.0033574254455816244
overlap,6063,447604,5639,417694,0.0007509359938024236
overlap,6063,347908,5639,324314,0.0007509290599649887
overlap,6138,311128,5713,522834,0.0023476048706254525
overlap,6138,150917,5713,522835,0.0027911297542182467
overlap,6150,129350,5725,529171,0.004894832872395227
overlap,6150,184290,5725,171731,6.939141001923647e-07
overlap,6334,533721,5895,497451,0.0012443110489996911
overlap,6334,178104,5895,508922,3.4926502667702476e-05
overlap,6334,386388,5895,360391,0.0012443040598585087
overlap,6396,537580,5954,525399,9.182442392851917e-05
overlap,6404,531069,5960,495013,0.03663744502198832
overlap,6427,427463,5980,398857,0.000689533720997962
overlap,6427,366320,5980,341551,1.9481413454360767e-06
overlap,6462,555237,6012,506921,0.0008178932717428626
overlap,6506,10877,6054,516284,0.001951402120986966
overlap,6565,523915,6111,488401,0.0036899500126407313
overlap,6567,541954,6113,504688,0.0004492859547814475
overlap,6570,590040,6116,526077,0.0006808768766049186
overlap,6608,246042,6152,229172,1.535059537174284e-05
overlap,6693,951888,6232,510114,0.0023781809370901344
overlap,6717,404010,6255,376918,0.0008026355172793242
overlap,6742,92938,6278,86533,0.006341055115545835
overlap,6752,109933,6288,102348,0.008736279704084249
overlap,6800,367191,6335,530983,3.6684353423309624e-05
overlap,6800,425844,6335,530980,0.00046341118172710434
overlap,6837,447476,6370,417573,0.0001460080720939506
overlap,6857,80906,6388,75367,7.510900762627411e-05
overlap,6956,500655,6482,466900,0.0019621155792037825
overlap,6956,120195,6482,532823,0.00011538619921835412
overlap,7053,541632,6571,504410,0.003203087228422289
overlap,7090,266404,6605,248177,0.000976704795930905
overlap,7090,836127,6605,509348,0.0012567231921494532
overlap,7090,375937,6605,350573,0.002251947616969119
overlap,7118,388246,6632,362142,0.00022318284969941916
overlap,7208,500223,6717,466506,0.002397801644718714
overlap,7250,408755,6753,381366,0.0008268213819448577
overlap,7261,358516,6764,334268,0.00018018986597282142
overlap,7380,12283,6869,11434,0.0016206668703867
overlap,7394,435134,6882,406073,8.418153930624638e-05
overlap,7395,391146,6883,364852,7.630012528866276e-05
overlap,7400,399731,6888,372887,0.0001643255709617721
overlap,7410,109829,6898,102250,0.004690297973915847
overlap,7417,497157,6905,463697,2.420144435946541e-06
overlap,7467,498091,6951,464559,0.0005727784520908239
overlap,7467,48671,6951,45418,0.0005159596585398384
overlap,7547,49725,7022,46393,0.0005036033806256456
overlap,7547,387707,7022,361638,0.009846839277189589
overlap,7547,211613,7022,197148,0.01183710647850944
overlap,7557,36841,7032,34364,0.00017274755207616704
overlap,7569,15224,7043,14180,0.0002542240706168874
overlap,7569,302339,7043,281733,0.0025319402305399308
overlap,7624,51685,7093,48182,0.0028529603421810607
overlap,7636,556953,7105,506995,0.0011081611939190764
overlap,7644,283601,7112,264209,0.0004326647532375147
overlap,7733,203403,7199,189497,0.043907820994782756
overlap,7756,99285,7221,92443,0.005291051373806846
overlap,7909,392675,7363,366266,0.0012252367763482925
overlap,7996,261245,7445,243370,1.2958313826971768e-06
overlap,8090,163721,7532,152579,0.0009429637745928037
overlap,8090,521029,7532,485712,0.0009429057119305639
overlap,8145,386377,7583,360380,0.020796520231070786
overlap,8155,411744,7593,384164,2.899882074943697e-05
overlap,8155,37891,7593,35339,0.0006811855315633775
overlap,8155,229426,7593,213773,0.006422327906577152
overlap,8206,269708,7641,251239,0.0010597094427140519
overlap,8214,88035,7649,81975,0.0011761853021184715
overlap,8249,144129,7683,134309,9.817835436284894e-06
overlap,8298,61431,7729,57193,0.001953441147186387
overlap,8400,446046,7825,416249,0.00022445137144680438
overlap,8459,21228,7881,19813,0.0007942150606291306
overlap,8469,397941,7891,371205,6.284861160453525e-05
overlap,8469,88568,7891,82474,4.5238742566927614e-05
overlap,8469,13036,7891,12132,0.001840669164494102
